Surname,First name,Email address,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00,Q. 17 /1.00,Q. 18 /1.00,Q. 19 /1.00,Q. 20 /1.00
CN,cn214a,214a@localhost.com,Finished,23/05/2023 09:35,23/05/2023 09:44,8 mins 33 secs,10,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
CN,cn207a,207a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:48,12 mins 31 secs,13,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
CN,cn218a,218a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:47,10 mins 59 secs,10,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0
CN,cn202a,202a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:48,12 mins 15 secs,11,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1
CN,cn201a,201a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:47,11 mins 46 secs,13,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0
CN,cn213a,213a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:52,16 mins 7 secs,12,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
CN,cn205a,205a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:49,13 mins 39 secs,13,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0
CN,cn215a,215a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:47,10 mins 53 secs,13,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1
CN,cn216a,216a@localhost.com,Finished,23/05/2023 09:36,23/05/2023 09:47,10 mins 7 secs,14,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
CN,cn208a,208a@localhost.com,Finished,23/05/2023 09:37,23/05/2023 09:46,9 mins 14 secs,13,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0
CN,cn212a,212a@localhost.com,Finished,23/05/2023 09:37,23/05/2023 09:48,11 mins 7 secs,13,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0
CN,cn204a,204a@localhost.com,Finished,23/05/2023 09:37,23/05/2023 09:53,15 mins 30 secs,9,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0
CN,cn206a,206a@localhost.com,Finished,23/05/2023 09:37,23/05/2023 09:48,10 mins 7 secs,16,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
CN,cn210a,210a@localhost.com,Finished,23/05/2023 09:38,23/05/2023 09:51,13 mins 26 secs,16,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
CN,cn101a,101a@localhost.com,Finished,24/05/2023 11:10,24/05/2023 11:13,3 mins 25 secs,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
CN,cn109a,109a@localhost.com,Finished,24/05/2023 11:49,24/05/2023 12:00,11 mins 51 secs,12,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
CN,cn107a,107a@localhost.com,Finished,24/05/2023 11:52,24/05/2023 11:59,6 mins 41 secs,14,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
CN,cn105a,105a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:14,21 mins 44 secs,11,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1
CN,cn113a,113a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:05,11 mins 59 secs,10,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0
CN,cn106a,106a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:04,10 mins 57 secs,12,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0
CN,cn114a,114a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:01,8 mins 28 secs,9,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,0
CN,cn111a,111a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:02,9 mins 23 secs,11,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1
CN,cn118a,118a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:07,14 mins 28 secs,9,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0
CN,cn108a,108a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:02,9 mins 1 sec,9,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0
CN,cn110a,110a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:04,10 mins 51 secs,14,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
CN,cn102a,102a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:05,11 mins 44 secs,14,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
CN,cn116a,116a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:01,8 mins 11 secs,15,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0
CN,cn112a,112a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:05,11 mins 40 secs,11,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1
CN,cn117a,117a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:03,9 mins 19 secs,10,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1
CN,cn115a,115a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:14,21 mins 2 secs,8,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0
CN,cn103a,103a@localhost.com,Finished,24/05/2023 11:53,24/05/2023 12:06,12 mins 57 secs,13,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0
CN,cn104a,104a@localhost.com,Finished,25/05/2023 08:30,25/05/2023 08:49,19 mins 32 secs,6,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,-,0,1,0,1
Overall average,,,,,,,11.12,0.48,0.19,0.64,0.79,0.33,0.5,0.74,0.26,0.4,0.5,0.79,0.67,0.69,0.57,0.6,0.79,0.4,0.74,0.71,0.33
Surname,First name,Email address,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /1.00,Q. 8 /1.00,Q. 9 /1.00,Q. 10 /1.00,Q. 11 /1.00,Q. 12 /1.00,Q. 13 /1.00,Q. 14 /1.00,Q. 15 /1.00,Q. 16 /1.00,Q. 17 /1.00,Q. 18 /1.00,Q. 19 /1.00,Q. 20 /1.00
CN,cn214b,214a@localhost.com,Finished,23/05/2023 09:45,23/05/2023 09:51,6 mins 58 secs,18,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
CN,cn209b,209a@localhost.com,Finished,23/05/2023 09:45,23/05/2023 09:53,7 mins 53 secs,14,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1
CN,cn203b,203a@localhost.com,Finished,23/05/2023 09:45,23/05/2023 09:51,5 mins 32 secs,18,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,cn211b,211a@localhost.com,Finished,23/05/2023 09:46,23/05/2023 09:52,6 mins 23 secs,15,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
CN,cn217b,217a@localhost.com,Finished,23/05/2023 09:46,23/05/2023 09:53,6 mins 34 secs,13,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0
CN,cn208b,208a@localhost.com,Finished,23/05/2023 09:47,23/05/2023 09:53,6 mins 18 secs,17,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
CN,cn218b,218a@localhost.com,Finished,23/05/2023 09:47,23/05/2023 09:57,9 mins 51 secs,14,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1
CN,cn216b,216a@localhost.com,Finished,23/05/2023 09:47,23/05/2023 09:53,6 mins 5 secs,17,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
CN,cn215b,215a@localhost.com,Finished,23/05/2023 09:47,23/05/2023 09:53,6 mins 3 secs,18,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
CN,cn201b,201a@localhost.com,Finished,23/05/2023 09:48,23/05/2023 09:53,5 mins 46 secs,16,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
CN,cn206b,206a@localhost.com,Finished,23/05/2023 09:48,23/05/2023 09:57,8 mins 49 secs,16,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
CN,cn220b,220a@localhost.com,Finished,23/05/2023 09:48,23/05/2023 09:56,7 mins 41 secs,15,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1
CN,cn202b,202a@localhost.com,Finished,23/05/2023 09:48,23/05/2023 09:57,9 mins,15,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1
CN,cn207b,207a@localhost.com,Finished,23/05/2023 09:48,23/05/2023 09:54,5 mins 54 secs,15,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
CN,cn212b,212a@localhost.com,Finished,23/05/2023 09:49,23/05/2023 09:56,7 mins 52 secs,19,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,cn205b,205a@localhost.com,Finished,23/05/2023 09:50,23/05/2023 10:00,10 mins 31 secs,16,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
CN,cn219b,219a@localhost.com,Finished,23/05/2023 09:50,23/05/2023 09:57,6 mins 54 secs,15,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
CN,cn204b,204a@localhost.com,Finished,23/05/2023 09:51,23/05/2023 10:00,8 mins 39 secs,13,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1
CN,cn210b,210a@localhost.com,Finished,23/05/2023 09:51,23/05/2023 09:59,7 mins 44 secs,13,1,1,1,1,0,1,0,1,1,1,0,1,-,0,1,1,0,0,1,1
CN,cn213b,213a@localhost.com,Finished,23/05/2023 09:52,23/05/2023 09:58,6 mins 22 secs,12,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0
CN,cn101b,101a@localhost.com,Finished,24/05/2023 11:13,24/05/2023 11:20,6 mins 35 secs,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
CN,cn107b,107a@localhost.com,Finished,24/05/2023 11:59,24/05/2023 12:05,5 mins 43 secs,16,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1
CN,cn109b,109a@localhost.com,Finished,24/05/2023 12:01,24/05/2023 12:05,4 mins 25 secs,13,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1
CN,cn116b,116a@localhost.com,Finished,24/05/2023 12:02,24/05/2023 12:06,4 mins 4 secs,18,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
CN,cn114b,114a@localhost.com,Finished,24/05/2023 12:02,24/05/2023 12:07,5 mins 27 secs,12,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1
CN,cn108b,108a@localhost.com,Finished,24/05/2023 12:02,24/05/2023 12:08,5 mins 26 secs,16,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
CN,cn111b,111a@localhost.com,Finished,24/05/2023 12:02,24/05/2023 12:08,5 mins 16 secs,9,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1
CN,cn105b,105a@localhost.com,Finished,24/05/2023 12:04,24/05/2023 12:09,5 mins 34 secs,17,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
CN,cn110b,110a@localhost.com,Finished,24/05/2023 12:04,24/05/2023 12:13,9 mins 10 secs,12,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1
CN,cn117b,117a@localhost.com,Finished,24/05/2023 12:05,24/05/2023 12:10,5 mins 32 secs,11,1,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0
CN,cn102b,102a@localhost.com,Finished,24/05/2023 12:05,24/05/2023 12:11,6 mins 22 secs,15,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
CN,cn112b,112a@localhost.com,Finished,24/05/2023 12:05,24/05/2023 12:10,4 mins 49 secs,17,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
CN,cn113b,113a@localhost.com,Finished,24/05/2023 12:05,24/05/2023 12:10,5 mins 12 secs,16,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1
CN,cn106b,106a@localhost.com,Finished,24/05/2023 12:05,24/05/2023 12:10,4 mins 44 secs,16,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1
CN,cn115b,115a@localhost.com,Finished,24/05/2023 12:06,24/05/2023 12:15,8 mins 59 secs,11,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0
CN,cn103b,103a@localhost.com,Finished,24/05/2023 12:07,24/05/2023 12:18,10 mins 57 secs,14,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
CN,cn118b,118a@localhost.com,Finished,24/05/2023 12:08,24/05/2023 12:18,10 mins 51 secs,9,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0
CN,cn104b,104a@localhost.com,Finished,25/05/2023 08:39,25/05/2023 08:50,11 mins 43 secs,12,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1
Overall average,,,,,,,14.42,0.71,0.63,0.45,0.89,0.55,0.79,0.32,0.87,0.89,0.24,0.79,0.92,0.79,0.66,0.68,0.97,0.82,0.71,0.92,0.82
